Provider ID	Hospital Name	Address	City	State	ZIP Code	Hospital Type	Hospital Ownership	Hospital overall rating	Mortality national comparison	Safety of care national comparison	Readmission national comparison	Effectiveness of care national comparison
61323	PROWERS MEDICAL CENTER	401 KENDALL DRIVE	LAMAR	CO	81052	Critical Access Hospitals	Government - Hospital District or Authority	3	Same as the national average	Not Available	Same as the national average	Same as the national average
61324	ASPEN VALLEY HOSPITAL	0401 CASTLE CREEK ROAD	ASPEN	CO	81611	Critical Access Hospitals	Government - Hospital District or Authority	4	Not Available	Not Available	Same as the national average	Same as the national average
61325	PIONEERS MEDICAL CENTER	100 PIONEERS MEDICAL CENTER DRIVE	MEEKER	CO	81641	Critical Access Hospitals	Government - Hospital District or Authority	Not Available	Not Available	Not Available	Not Available	Not Available
61326	PIKES PEAK REGIONAL HOSPITAL	16420 HIGHWAY 24	WOODLAND PARK	CO	80863	Critical Access Hospitals	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Same as the national average	Not Available
61327	SOUTHWEST MEMORIAL HOSPITAL	1311 N MILDRED RD	CORTEZ	CO	81321	Critical Access Hospitals	Voluntary non-profit - Private	3	Same as the national average	Not Available	Same as the national average	Same as the national average
61328	PAGOSA SPRINGS MEDICAL CENTER	95 SOUTH PAGOSA BOULEVARD	PAGOSA SPRINGS	CO	81147	Critical Access Hospitals	Government - Hospital District or Authority	Not Available	Not Available	Not Available	Not Available	Not Available
63301	CHILDRENS HOSPITAL COLORADO	13123 EAST 16TH AVENUE	AURORA	CO	80045	Childrens	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
70002	ST FRANCIS HOSPITAL & MEDICAL CENTER	114 WOODLAND STREET	HARTFORD	CT	6105	Acute Care Hospitals	Voluntary non-profit - Church	3	Above the national average	Below the national average	Same as the national average	Same as the national average
70003	DAY KIMBALL HOSPITAL	320 POMFRET STREET	PUTNAM	CT	6260	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Below the national average	Same as the national average	Same as the national average
70004	SHARON HOSPITAL	"50 HOSPITAL HILL ROAD, PO BOX 789"	SHARON	CT	6069	Acute Care Hospitals	Proprietary	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
70005	WATERBURY HOSPITAL	64 ROBBINS ST	WATERBURY	CT	6721	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Below the national average	Below the national average	Same as the national average
70006	STAMFORD HOSPITAL	ONE HOSPITAL PLAZA	STAMFORD	CT	6904	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Below the national average	Same as the national average	Same as the national average
70007	LAWRENCE & MEMORIAL HOSPITAL	365 MONTAUK AVE	NEW LONDON	CT	6320	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Above the national average	Same as the national average
70008	JOHNSON MEMORIAL HOSPITAL	201 CHESTNUT HILL ROAD	STAFFORD SPRINGS	CT	6076	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
70010	BRIDGEPORT HOSPITAL	267 GRANT STREET	BRIDGEPORT	CT	6610	Acute Care Hospitals	Voluntary non-profit - Private	2	Above the national average	Below the national average	Below the national average	Same as the national average
70011	CHARLOTTE HUNGERFORD HOSPITAL	540 LITCHFIELD ST	TORRINGTON	CT	6790	Acute Care Hospitals	Voluntary non-profit - Private	2	Below the national average	Above the national average	Same as the national average	Same as the national average
70012	ROCKVILLE GENERAL HOSPITAL	31 UNION ST	ROCKVILLE	CT	6066	Acute Care Hospitals	Voluntary non-profit - Other	3	Same as the national average	Below the national average	Same as the national average	Same as the national average
70016	SAINT MARYS HOSPITAL	56 FRANKLIN ST	WATERBURY	CT	6706	Acute Care Hospitals	Voluntary non-profit - Other	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
70017	MIDSTATE MEDICAL CENTER	435 LEWIS AVENUE	MERIDEN	CT	6450	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Above the national average	Below the national average	Same as the national average
70018	GREENWICH HOSPITAL ASSOCIATION	5 PERRYRIDGE RD	GREENWICH	CT	6830	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Below the national average	Same as the national average	Same as the national average
70019	"MILFORD HOSPITAL, INC"	300 SEASIDE AVENUE	MILFORD	CT	6460	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
70020	MIDDLESEX HOSPITAL	28 CRESCENT ST	MIDDLETOWN	CT	6457	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Below the national average	Same as the national average	Above the national average
70021	WINDHAM COMM MEM HOSP & HATCH HOSP	112 MANSFIELD AVENUE	WILLIMANTIC	CT	6226	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
70022	YALE-NEW HAVEN HOSPITAL	20 YORK ST	NEW HAVEN	CT	6504	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Below the national average	Below the national average	Same as the national average
70024	WILLIAM W BACKUS HOSPITAL	326 WASHINGTON ST	NORWICH	CT	6360	Acute Care Hospitals	Voluntary non-profit - Other	4	Above the national average	Above the national average	Below the national average	Same as the national average
70025	HARTFORD HOSPITAL	80 SEYMOUR STREET	HARTFORD	CT	6102	Acute Care Hospitals	Voluntary non-profit - Private	2	Above the national average	Below the national average	Below the national average	Same as the national average
70027	MANCHESTER MEMORIAL HOSPITAL	71 HAYNES ST	MANCHESTER	CT	6040	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Below the national average	Same as the national average	Same as the national average
70028	ST VINCENT'S MEDICAL CENTER	2800 MAIN ST	BRIDGEPORT	CT	6606	Acute Care Hospitals	Voluntary non-profit - Church	2	Same as the national average	Below the national average	Below the national average	Same as the national average
70029	BRISTOL HOSPITAL	BREWSTER RD	BRISTOL	CT	6010	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Below the national average	Same as the national average
70031	GRIFFIN HOSPITAL	130 DIVISION ST	DERBY	CT	6418	Acute Care Hospitals	Voluntary non-profit - Other	2	Below the national average	Same as the national average	Below the national average	Same as the national average
70033	DANBURY HOSPITAL	24 HOSPITAL AVE	DANBURY	CT	6810	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Below the national average	Below the national average	Same as the national average
70034	NORWALK HOSPITAL ASSOCIATION	24 STEVENS STREET	NORWALK	CT	6856	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Below the national average	Above the national average	Same as the national average
70035	"HOSPITAL OF CENTRAL CONNECTICUT, THE"	100 GRAND STREET	NEW BRITAIN	CT	6050	Acute Care Hospitals	Voluntary non-profit - Other	2	Same as the national average	Below the national average	Same as the national average	Same as the national average
70036	JOHN DEMPSEY HOSPITAL	263 FARMINGTON AVE	FARMINGTON	CT	6032	Acute Care Hospitals	Government - Local	3	Above the national average	Above the national average	Same as the national average	Below the national average
70038	"CONNECTICUT HOSPICE INC,THE"	100 DOUBLE BEACH ROAD	BRANFORD	CT	6405	Acute Care Hospitals	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
70039	MASONICARE HEALTH CENTER	22 MASONIC AVE	WALLINGFORD	CT	6492	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Not Available	Same as the national average	Same as the national average
70040	HEBREW HOME AND HOSPITAL INC	1 ABRAHMS BOULEVARD	WEST HARTFORD	CT	6117	Acute Care Hospitals	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
73300	CONNECTICUT CHILDRENS MEDICAL CENTER	282 WASHINGTON STREET	HARTFORD	CT	6106	Childrens	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
80001	"CHRISTIANA CARE HEALTH SERVICES, INC."	4755 OGLETOWN-STANTON ROAD	NEWARK	DE	19718	Acute Care Hospitals	Voluntary non-profit - Private	4	Above the national average	Below the national average	Above the national average	Below the national average
80003	ST FRANCIS HOSPITAL	7TH AND CLAYTON STS	WILMINGTON	DE	19805	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Above the national average	Same as the national average	Same as the national average
80004	BAYHEALTH - KENT GENERAL HOSPITAL	640 S STATE STREET	DOVER	DE	19901	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Above the national average	Below the national average	Same as the national average
80006	NANTICOKE MEMORIAL HOSPITAL	801 MIDDLEFORD RD	SEAFORD	DE	19973	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Above the national average	Above the national average	Same as the national average
80007	BEEBE MEDICAL CENTER	424 SAVANNAH RD	LEWES	DE	19958	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Below the national average	Same as the national average
80009	BAYHEALTH - MILFORD MEMORIAL HOSPITAL	21 WEST CLARKE AVENUE	MILFORD	DE	19963	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Same as the national average	Above the national average	Same as the national average
83300	ALFRED I DUPONT HOSPITAL FOR CHILDREN	1600 ROCKLAND RD PO BOX 269	WILMINGTON	DE	19899	Childrens	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
90001	GEORGE WASHINGTON UNIV HOSPITAL	900 23RD ST NW	WASHINGTON	DC	20037	Acute Care Hospitals	Proprietary	1	Same as the national average	Below the national average	Below the national average	Same as the national average
90003	HOWARD UNIVERSITY HOSPITAL	2041 GEORGIA AVE NW	WASHINGTON	DC	20060	Acute Care Hospitals	Voluntary non-profit - Other	1	Same as the national average	Below the national average	Below the national average	Same as the national average
90004	MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL	3800 RESERVOIR RD	WASHINGTON	DC	20007	Acute Care Hospitals	Voluntary non-profit - Private	1	Same as the national average	Below the national average	Below the national average	Same as the national average
90005	SIBLEY MEMORIAL HOSPITAL	5255 LOUGHBORO RD NW	WASHINGTON	DC	20016	Acute Care Hospitals	Voluntary non-profit - Other	3	Same as the national average	Below the national average	Above the national average	Same as the national average
90006	PROVIDENCE HOSPITAL	1150 VARNUM ST NE	WASHINGTON	DC	20017	Acute Care Hospitals	Voluntary non-profit - Private	1	Above the national average	Below the national average	Below the national average	Below the national average
90008	UNITED MEDICAL CENTER	1310 SOUTHERN AVENUE  SE	WASHINGTON	DC	20032	Acute Care Hospitals	Proprietary	1	Same as the national average	Above the national average	Below the national average	Below the national average
90011	MEDSTAR WASHINGTON HOSPITAL CENTER	110 IRVING ST NW	WASHINGTON	DC	20010	Acute Care Hospitals	Voluntary non-profit - Other	2	Above the national average	Below the national average	Below the national average	Below the national average
93300	CHILDREN'S HOSPITAL NMC	"111 MICHIGAN AVE, NW"	WASHINGTON	DC	20010	Childrens	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
100001	UF HEALTH JACKSONVILLE	655 W 8TH ST	JACKSONVILLE	FL	32209	Acute Care Hospitals	Voluntary non-profit - Private	1	Same as the national average	Below the national average	Below the national average	Same as the national average
100002	BETHESDA HOSPITAL EAST	2815 S SEACREST BLVD	BOYNTON BEACH	FL	33435	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Above the national average	Same as the national average
100006	ORLANDO HEALTH	52 W UNDERWOOD ST	ORLANDO	FL	32806	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Below the national average	Same as the national average
100007	FLORIDA HOSPITAL	601 E ROLLINS ST	ORLANDO	FL	32803	Acute Care Hospitals	Voluntary non-profit - Private	2	Above the national average	Below the national average	Below the national average	Same as the national average
100008	BAPTIST HOSPITAL OF MIAMI	8900 N KENDALL DR	MIAMI	FL	33176	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Below the national average	Above the national average	Same as the national average
100009	UNIVERSITY OF MIAMI HOSPITAL	1400 NW 12TH AVE	MIAMI	FL	33136	Acute Care Hospitals	Voluntary non-profit - Private	1	Above the national average	Below the national average	Below the national average	Above the national average
100012	LEE MEMORIAL HOSPITAL	2776 CLEVELAND AVE	FORT MYERS	FL	33901	Acute Care Hospitals	Government - Hospital District or Authority	2	Same as the national average	Below the national average	Below the national average	Same as the national average
100014	FLORIDA HOSPITAL NEW SMYRNA	401 PALMETTO ST	NEW SMYRNA BEACH	FL	32170	Acute Care Hospitals	Voluntary non-profit - Church	2	Same as the national average	Below the national average	Same as the national average	Same as the national average
100017	HALIFAX HEALTH MEDICAL CENTER	303 N CLYDE MORRIS BLVD	DAYTONA BEACH	FL	32114	Acute Care Hospitals	Government - Hospital District or Authority	2	Below the national average	Same as the national average	Same as the national average	Below the national average
100018	NAPLES COMMUNITY HOSPITAL	350 7TH ST N	NAPLES	FL	34102	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Above the national average	Same as the national average
100019	HOLMES REGIONAL MEDICAL CENTER	1350 S HICKORY ST	MELBOURNE	FL	32901	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Same as the national average	Below the national average	Same as the national average
100022	JACKSON MEMORIAL HOSPITAL	1611 NW 12TH AVE	MIAMI	FL	33136	Acute Care Hospitals	Government - Hospital District or Authority	1	Same as the national average	Below the national average	Below the national average	Below the national average
100023	CITRUS MEMORIAL HOSPITAL	502 W HIGHLAND BLVD	INVERNESS	FL	34452	Acute Care Hospitals	Government - Hospital District or Authority	2	Below the national average	Above the national average	Same as the national average	Same as the national average
100025	SACRED HEART HOSPITAL	5151 N 9TH AVE	PENSACOLA	FL	32504	Acute Care Hospitals	Voluntary non-profit - Private	3	Below the national average	Same as the national average	Above the national average	Same as the national average
100026	BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM	615 N BONITA AVE	PANAMA CITY	FL	32401	Acute Care Hospitals	Government - Hospital District or Authority	3	Above the national average	Above the national average	Above the national average	Same as the national average
100028	PARRISH MEDICAL CENTER	951 N WASHINGTON AVE	TITUSVILLE	FL	32796	Acute Care Hospitals	Government - Hospital District or Authority	4	Same as the national average	Above the national average	Above the national average	Same as the national average
100029	NORTH SHORE MEDICAL CENTER	1100 NW 95TH ST	MIAMI	FL	33150	Acute Care Hospitals	Proprietary	1	Same as the national average	Above the national average	Below the national average	Same as the national average
100030	HEALTH CENTRAL	10000 W COLONIAL DR	OCOEE	FL	34761	Acute Care Hospitals	Government - State	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
100032	BAYFRONT HEALTH - ST PETERSBURG	701 6TH ST S	SAINT PETERSBURG	FL	33701	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Below the national average	Below the national average	Same as the national average
100034	MOUNT SINAI MEDICAL CENTER	4300 ALTON RD	MIAMI BEACH	FL	33140	Acute Care Hospitals	Proprietary	3	Above the national average	Above the national average	Below the national average	Same as the national average
100035	MANATEE MEMORIAL HOSPITAL	206 2ND ST E	BRADENTON	FL	34208	Acute Care Hospitals	Proprietary	2	Below the national average	Same as the national average	Below the national average	Same as the national average
100038	MEMORIAL REGIONAL HOSPITAL	3501 JOHNSON ST	HOLLYWOOD	FL	33021	Acute Care Hospitals	Government - Hospital District or Authority	3	Above the national average	Same as the national average	Same as the national average	Same as the national average
100039	BROWARD HEALTH MEDICAL CENTER	1600 S ANDREWS AVE	FORT LAUDERDALE	FL	33316	Acute Care Hospitals	Government - Hospital District or Authority	2	Same as the national average	Below the national average	Below the national average	Above the national average
100040	ST VINCENT'S MEDICAL CENTER RIVERSIDE	1 SHIRCLIFF WAY	JACKSONVILLE	FL	32204	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Below the national average	Same as the national average
100043	MEASE DUNEDIN HOSPITAL	601 MAIN ST	DUNEDIN	FL	34698	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Above the national average	Same as the national average	Same as the national average
100044	MARTIN MEDICAL CENTER	200 SE HOSPITAL AVE	STUART	FL	34995	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Below the national average	Below the national average	Same as the national average
100045	FLORIDA HOSPITAL DELAND	701 W PLYMOUTH AVE	DELAND	FL	32720	Acute Care Hospitals	Voluntary non-profit - Church	3	Same as the national average	Above the national average	Same as the national average	Same as the national average
100046	FLORIDA HOSPITAL ZEPHYRHILLS	7050 GALL BLVD	ZEPHYRHILLS	FL	33541	Acute Care Hospitals	Voluntary non-profit - Church	3	Same as the national average	Above the national average	Same as the national average	Same as the national average
100047	BAYFRONT HEALTH PUNTA GORDA	809 E MARION AVE	PUNTA GORDA	FL	33950	Acute Care Hospitals	Proprietary	2	Same as the national average	Below the national average	Above the national average	Same as the national average
100048	JAY HOSPITAL	14114 ALABAMA ST	JAY	FL	32565	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Not Available	Same as the national average	Same as the national average
100049	HIGHLANDS REGIONAL MEDICAL CENTER	3600 S HIGHLANDS AVE	SEBRING	FL	33870	Acute Care Hospitals	Proprietary	2	Same as the national average	Below the national average	Same as the national average	Same as the national average
100050	LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS	1475 W 49TH ST	HIALEAH	FL	33012	Acute Care Hospitals	Voluntary non-profit - Private	2	Above the national average	Above the national average	Below the national average	Same as the national average
100051	SOUTH LAKE HOSPITAL	1900 DON WICKHAM DR	CLERMONT	FL	34711	Acute Care Hospitals	Government - Hospital District or Authority	2	Same as the national average	Below the national average	Below the national average	Same as the national average
100052	WINTER HAVEN HOSPITAL	200 AVE F NE	WINTER HAVEN	FL	33881	Acute Care Hospitals	Voluntary non-profit - Private	2	Below the national average	Above the national average	Below the national average	Same as the national average
100053	HIALEAH HOSPITAL	651 E 25TH ST	HIALEAH	FL	33013	Acute Care Hospitals	Proprietary	3	Same as the national average	Above the national average	Below the national average	Same as the national average
100054	TWIN CITIES HOSPITAL	2190 HWY 85 N	NICEVILLE	FL	32578	Acute Care Hospitals	Proprietary	4	Same as the national average	Above the national average	Same as the national average	Same as the national average
100055	FLORIDA HOSPITAL NORTH PINELLAS	1395 S PINELLAS AVE	TARPON SPRINGS	FL	34689	Acute Care Hospitals	Voluntary non-profit - Other	3	Same as the national average	Below the national average	Same as the national average	Same as the national average
100057	FLORIDA HOSPITAL WATERMAN	1000 WATERMAN WAY	TAVARES	FL	32778	Acute Care Hospitals	Voluntary non-profit - Church	3	Same as the national average	Same as the national average	Below the national average	Same as the national average
100062	MUNROE REGIONAL MEDICAL CENTER	1500 SW 1ST AVE	OCALA	FL	34474	Acute Care Hospitals	Government - Hospital District or Authority	2	Below the national average	Above the national average	Same as the national average	Below the national average
100063	MORTON PLANT NORTH BAY HOSPITAL	6600 MADISON ST	NEW PORT RICHEY	FL	34652	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Below the national average	Same as the national average
100067	ST ANTHONYS HOSPITAL	1200 SEVENTH AVE N	SAINT PETERSBURG	FL	33705	Acute Care Hospitals	Voluntary non-profit - Church	2	Above the national average	Below the national average	Below the national average	Same as the national average
100068	FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER	301 MEMORIAL MEDICAL PARKWAY	DAYTONA BEACH	FL	32117	Acute Care Hospitals	Voluntary non-profit - Church	4	Below the national average	Above the national average	Above the national average	Same as the national average
100069	FLORIDA HOSPITAL CARROLLWOOD	7171 N DALE MABRY HWY	TAMPA	FL	33614	Acute Care Hospitals	Voluntary non-profit - Church	3	Same as the national average	Same as the national average	Below the national average	Same as the national average
100070	VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH	540 THE RIALTO	VENICE	FL	34285	Acute Care Hospitals	Proprietary	3	Below the national average	Same as the national average	Above the national average	Same as the national average
100071	BAYFRONT HEALTH BROOKSVILLE	17240 CORTEZ BLVD	BROOKSVILLE	FL	34601	Acute Care Hospitals	Voluntary non-profit - Church	2	Same as the national average	Same as the national average	Same as the national average	Same as the national average
100072	FLORIDA HOSPITAL FISH MEMORIAL	1055 SAXON BLVD	ORANGE CITY	FL	32763	Acute Care Hospitals	Voluntary non-profit - Church	3	Same as the national average	Below the national average	Below the national average	Same as the national average
100073	HOLY CROSS HOSPITAL	4725 N FEDERAL HWY	FORT LAUDERDALE	FL	33308	Acute Care Hospitals	Voluntary non-profit - Church	2	Same as the national average	Below the national average	Below the national average	Same as the national average
100075	ST JOSEPHS HOSPITAL	3001 W MARTIN LUTHER KING JR BLVD	TAMPA	FL	33677	Acute Care Hospitals	Voluntary non-profit - Church	3	Same as the national average	Same as the national average	Below the national average	Same as the national average
100077	BAYFRONT HEALTH PORT CHARLOTTE	2500 HARBOR BLVD	PORT CHARLOTTE	FL	33952	Acute Care Hospitals	Proprietary	2	Above the national average	Below the national average	Same as the national average	Same as the national average
100080	JFK MEDICAL CENTER	5301 S CONGRESS AVE	ATLANTIS	FL	33462	Acute Care Hospitals	Proprietary	2	Same as the national average	Below the national average	Below the national average	Same as the national average
100081	HEALTHMARK REGIONAL MEDICAL CENTER	4413 US HWY 331 S	DEFUNIAK SPRINGS	FL	32435	Acute Care Hospitals	Proprietary	4	Same as the national average	Not Available	Same as the national average	Below the national average
100084	LEESBURG REGIONAL MEDICAL CENTER	600 E DIXIE AVE	LEESBURG	FL	34748	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Above the national average	Below the national average	Same as the national average
100086	BROWARD HEALTH NORTH	201 E SAMPLE RD	POMPANO BEACH	FL	33064	Acute Care Hospitals	Government - Hospital District or Authority	2	Same as the national average	Below the national average	Below the national average	Same as the national average
100087	SARASOTA MEMORIAL HOSPITAL	1700 S TAMIAMI TRL	SARASOTA	FL	34239	Acute Care Hospitals	Government - Hospital District or Authority	5	Above the national average	Above the national average	Above the national average	Same as the national average
100088	BAPTIST MEDICAL CENTER JACKSONVILLE	800 PRUDENTIAL DR	JACKSONVILLE	FL	32207	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Same as the national average	Below the national average	Same as the national average
100090	FLAGLER HOSPITAL	400 HEALTH PARK BLVD	SAINT AUGUSTINE	FL	32086	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Below the national average	Below the national average	Same as the national average
100092	WUESTHOFF MEDICAL CENTER-ROCKLEDGE	110 LONGWOOD AVE	ROCKLEDGE	FL	32955	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Above the national average	Below the national average	Same as the national average
100093	BAPTIST HOSPITAL	1000 W MORENO ST	PENSACOLA	FL	32501	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
100099	LAKE WALES MEDICAL CENTER	410 S 11TH ST	LAKE WALES	FL	33853	Acute Care Hospitals	Proprietary	2	Same as the national average	Above the national average	Below the national average	Same as the national average
100102	SHANDS LAKE SHORE REGIONAL MEDICAL CENTER	368 NE FRANKLIN ST	LAKE CITY	FL	32055	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Not Available	Below the national average	Same as the national average
100105	INDIAN RIVER MEDICAL CENTER	1000 36TH ST	VERO BEACH	FL	32960	Acute Care Hospitals	Government - Hospital District or Authority	2	Below the national average	Below the national average	Above the national average	Same as the national average
100106	DOCTOR'S MEMORIAL HOSPITAL INC	333 N BYRON BUTLER PKWY	PERRY	FL	32348	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Not Available	Same as the national average	Below the national average
100107	LEHIGH REGIONAL MEDICAL CENTER	1500 LEE BLVD	LEHIGH ACRES	FL	33936	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Same as the national average	Same as the national average	Same as the national average
100109	FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER	4200 SUN N LAKE BLVD	SEBRING	FL	33871	Acute Care Hospitals	Voluntary non-profit - Church	3	Above the national average	Same as the national average	Same as the national average	Same as the national average
100110	OSCEOLA REGIONAL MEDICAL CENTER	700 WEST OAK STREET	KISSIMMEE	FL	34741	Acute Care Hospitals	Proprietary	2	Same as the national average	Above the national average	Below the national average	Same as the national average
100113	UF HEALTH SHANDS HOSPITAL	1600 SW ARCHER RD	GAINESVILLE	FL	32610	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Above the national average	Below the national average	Same as the national average
100117	BAPTIST MEDICAL CENTER - BEACHES	1350 13TH AVE S	JACKSONVILLE BEACH	FL	32250	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Above the national average	Same as the national average	Same as the national average
100118	FLORIDA HOSPITAL FLAGLER	60 MEMORIAL MEDICAL PKWY	PALM COAST	FL	32164	Acute Care Hospitals	Voluntary non-profit - Church	3	Below the national average	Above the national average	Below the national average	Same as the national average
100121	BARTOW REGIONAL MEDICAL CENTER	2200 OSPREY BLVD	BARTOW	FL	33831	Acute Care Hospitals	Proprietary	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
100122	NORTH OKALOOSA MEDICAL CENTER	151 REDSTONE AVE SE	CRESTVIEW	FL	32539	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Same as the national average	Same as the national average
100124	SANTA ROSA MEDICAL CENTER	6002 BERRYHILL RD	MILTON	FL	32570	Acute Care Hospitals	Proprietary	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
100125	HOMESTEAD HOSPITAL	975 BAPTIST WAY	HOMESTEAD	FL	33033	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
100126	PALMS OF PASADENA HOSPITAL	1501 PASADENA AVE S	SAINT PETERSBURG	FL	33707	Acute Care Hospitals	Proprietary	2	Same as the national average	Same as the national average	Below the national average	Same as the national average
100127	MORTON PLANT HOSPITAL	300 PINELLAS ST	CLEARWATER	FL	33756	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Same as the national average	Same as the national average
100128	TAMPA GENERAL HOSPITAL	1 TAMPA GENERAL CIR	TAMPA	FL	33606	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Below the national average	Below the national average	Same as the national average
100130	LAKESIDE MEDICAL CENTER	39200 HOOKER HWY	BELLE GLADE	FL	33430	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Same as the national average	Same as the national average	Below the national average
100131	AVENTURA HOSPITAL AND MEDICAL CENTER	20900 BISCAYNE BLVD	AVENTURA	FL	33180	Acute Care Hospitals	Voluntary non-profit - Private	3	Above the national average	Above the national average	Below the national average	Same as the national average
100132	SOUTH FLORIDA BAPTIST HOSPITAL	301 N ALEXANDER ST	PLANT CITY	FL	33563	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Same as the national average	Same as the national average
100134	ED FRASER MEMORIAL HOSPITAL	159 N 3RD ST	MACCLENNY	FL	32063	Acute Care Hospitals	Government - Hospital District or Authority	Not Available	Not Available	Not Available	Not Available	Not Available
100135	TALLAHASSEE MEMORIAL HOSPITAL	1300 MICCOSUKEE RD	TALLAHASSEE	FL	32308	Acute Care Hospitals	Voluntary non-profit - Private	3	Below the national average	Above the national average	Same as the national average	Same as the national average
100137	HEART OF FLORIDA REGIONAL MEDICAL CENTER	40100 US HWY 27 N	DAVENPORT	FL	33837	Acute Care Hospitals	Proprietary	2	Same as the national average	Same as the national average	Below the national average	Same as the national average
100140	BAPTIST MEDICAL CENTER - NASSAU	1250 S 18TH ST	FERNANDINA BEACH	FL	32034	Acute Care Hospitals	Government - Local	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
100142	JACKSON HOSPITAL	4250 HOSPITAL DR	MARIANNA	FL	32446	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Same as the national average	Same as the national average	Below the national average
